Key,app_af,app_am,app_ar,app_ar_AE,app_ar_DZ,app_ar_EG,app_az,app_bg,app_bn,app_bn_IN,app_ca,app_cs,app_da,app_de,app_de_AT,app_de_CH,app_el,app_en,app_en_AU,app_en_CA,app_en_GB,app_en_IN,app_es,app_es_AR,app_es_CO,app_es_MX,app_et,app_fa,app_fi,app_fr,app_fr_BE,app_fr_CA,app_fr_CH,app_gl,app_gu,app_he,app_hi,app_hr,app_hu,app_id,app_it,app_ja,app_kk,app_ko,app_lt,app_lv,app_ml,app_mn,app_mr,app_ms,app_ms_SG,app_my,app_nb,app_ne,app_nl,app_nl_BE,app_pl,app_pt,app_pt_PT,app_ro,app_ru,app_ru_KZ,app_ru_UA,app_si,app_sk,app_sl,app_sr,app_sv,app_sw,app_ta,app_te,app_th,app_tl,app_tr,app_uk,app_ur,app_ur_IN,app_uz,app_vi,app_zh,app_zh_CN,app_zh_HK,app_zh_MO,app_zh_SG
url_screen_title,Regstreekse stroom-URL,Ուղիղ հեռարձակման URL,رابط البث المباشر,رابط البث المباشر,رابط البث المباشر,رابط البث المباشر,Canlı yayım URL,URL на живо предаване,লাইভ স্ট্রিম URL,লাইভ স্ট্রিম URL,URL de transmissió en directe,URL živého přenosu,Live stream URL,Live-Stream URL,Live-Stream URL,Live-Stream URL,URL ζωντανής ροής,Live stream URL,Live stream URL,Live stream URL,Live stream URL,Live stream URL,URL de transmisión en directo,URL de transmisión en vivo,URL de transmisión en vivo,URL de transmisión en vivo,Otseülekande URL,آدرس پخش زنده,Suoratoistolinkin URL,URL du flux en direct,URL de diffusion en direct,URL de diffusion en direct,URL de flux en direct,URL de transmisión en directo,લાઇવ સ્ટ્રીમ URL,כתובת שידור חי,लाइव स्ट्रीम URL,URL živog prijenosa,Élő közvetítés URL,URL siaran langsung,URL streaming live,ライブストリームURL,Тікелей эфир URL,라이브 스트림 URL,Tiesioginės transliacijos URL,Tiešraides URL,ലൈവ് സ്ട്രീം URL,Шууд дамжуулалтын URL,लाइव स्ट्रीम URL,URL Strim Langsung,URL aliran langsung,တိုက်ရိုက်ထုတ်လွှင့်မှု URL,Direktestrøm URL,लाइभ स्ट्रिम URL,Livestream URL,Livestream URL,Adres URL transmisji na żywo,URL de transmissão ao vivo,URL de transmissão em direto,URL flux live,URL прямой трансляции,URL прямой трансляции,URL прямой трансляции,සජීවී ප්‍රවාහ URL,URL živého prenosu,URL naslov v živo,URL live streama,Direktsändnings-URL,URL ya mubashara,நேரலை ஓட URL,లైవ్ స్ట్రీమ్ URL,URL สตรีมสด,Live stream URL,Canlı yayın URL'si,URL трансляції,براہ راست سٹریم یو آر ایل,لائیو اسٹریم یو آر ایل,Jonli efir URL,URL phát trực tiếp,即時串流網址,直播流网址,即時串流網址,即時串流網址,直播流网址
url_screen_desc,Voer asseblief die regstreekse stroom-URL in,Խնդրում ենք մուտքագրել ուղիղ հեռարձակման URL-ը,الرجاء إدخال رابط البث المباشر,يرجى إدخال رابط البث المباشر,يرجى إدخال رابط البث المباشر,يرجى إدخال رابط البث المباشر,Zəhmət olmasa canlı yayım URL daxil edin,"Моля, въведете URL адреса на живото предаване",লাইভ স্ট্রিম URL লিখুন,লাইভ স্ট্রিম URL লিখুন,"Si us plau, introduïu l'URL de transmissió en directe",Zadejte prosím URL živého přenosu,Indtast venligst live stream URL,Bitte geben Sie die Live-Stream URL ein,Bitte geben Sie die Live-Stream URL ein,Bitte geben Sie die Live-Stream URL ein,Παρακαλώ εισάγετε το URL ζωντανής ροής,Please enter the live stream URL,Please enter the live stream URL,Please enter the live stream URL,Please enter the live stream URL,Please enter the live stream URL,"Por favor, introduce la URL de transmisión en directo","Por favor, ingresá la URL de transmisión en vivo",Por favor ingresa la URL de transmisión en vivo,Por favor ingresa la URL de transmisión en vivo,Palun sisestage otseülekande URL,لطفاً آدرس پخش زنده را وارد کنید,Syötä suoratoistolinkin URL,Veuillez saisir l'URL du flux en direct,Veuillez entrer l'URL de diffusion en direct,Veuillez entrer l'URL de diffusion en direct,Veuillez saisir l'URL du flux en direct,Introduza o URL da transmisión en directo,કૃપા કરીને લાઇવ સ્ટ્રીમ URL દાખલ કરો,אנא הזן את כתובת השידור החי,कृपया लाइव स्ट्रीम URL दर्ज करें,Unesite URL živog prijenosa,"Kérjük, adja meg az élő közvetítés URL-jét",Silakan masukkan URL siaran langsung,Inserisci l'URL dello streaming live,ライブストリームURLを入力してください,Тікелей эфир URL мекенжайын енгізіңіз,라이브 스트림 URL을 입력하세요,Įveskite tiesioginės transliacijos URL,"Lūdzu, ievadiet tiešraides URL",ലൈവ് സ്ട്രീം URL നൽകുക,Шууд дамжуулалтын URL-ийг оруулна уу,कृपया लाइव स्ट्रीम URL प्रविष्ट करा,Sila masukkan URL strim langsung,Sila masukkan URL aliran langsung,တိုက်ရိုက်ထုတ်လွှင့်မှု URL ကို ထည့်သွင်းပါ,Vennligst skriv inn direktestrøm URL,कृपया लाइभ स्ट्रिम URL प्रविष्ट गर्नुहोस्,Voer de livestream URL in,Voer de livestream URL in,Wprowadź adres URL transmisji na żywo,"Por favor, insira a URL da transmissão ao vivo","Por favor, introduza o URL da transmissão em direto",Vă rugăm să introduceți URL-ul fluxului live,"Пожалуйста, введите URL прямой трансляции","Пожалуйста, введите URL прямой трансляции","Пожалуйста, введите URL прямой трансляции",කරුණාකර සජීවී ප්‍රවාහ URL ඇතුළත් කරන්න,Zadajte URL živého prenosu,Vnesite URL naslov v živo,Unesite URL live streama,Ange URL:en för direktsändningen,Tafadhali ingiza URL ya mubashara,நேரலை ஓட URL ஐ உள்ளிடவும்,దయచేసి లైవ్ స్ట్రీమ్ URL ను నమోదు చేయండి,กรุณาใส่ URL สตรีมสด,Mangyaring ilagay ang live stream URL,Lütfen canlı yayın URL'sini girin,"Будь ласка, введіть URL трансляції",براہ کرم براہ راست سٹریم یو آر ایل درج کریں,براہ کرم لائیو اسٹریم یو آر ایل درج کریں,"Iltimos, jonli efir URL manzilini kiriting",Vui lòng nhập URL phát trực tiếp,請輸入即時串流網址,请输入直播流网址,請輸入即時串流網址,請輸入即時串流網址,请输入直播流网址
url_screen_url,URL,URL,الرابط,الرابط,الرابط,الرابط,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,آدرس,URL,URL,URL,URL,URL,URL,URL,כתובת URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,URL,یو آر ایل,یو آر ایل,URL,URL,網址,网址,網址,網址,网址
url_screen_url_placeholder,http://voorbeeld.com/stroom of rtsp://voorbeeld.com/stroom,http://example.com/stream կամ rtsp://example.com/stream,http://example.com/stream أو rtsp://example.com/stream,http://example.com/stream أو rtsp://example.com/stream,http://example.com/stream أو rtsp://example.com/stream,http://example.com/stream أو rtsp://example.com/stream,http://example.com/stream və ya rtsp://example.com/stream,http://example.com/stream или rtsp://example.com/stream,http://example.com/stream বা rtsp://example.com/stream,http://example.com/stream বা rtsp://example.com/stream,http://example.com/stream o rtsp://example.com/stream,http://example.com/stream nebo rtsp://example.com/stream,http://eksempel.dk/stream eller rtsp://eksempel.dk/stream,http://beispiel.de/stream oder rtsp://beispiel.de/stream,http://beispiel.at/stream oder rtsp://beispiel.at/stream,http://beispiel.com/stream oder rtsp://beispiel.com/stream,http://example.com/stream ή rtsp://example.com/stream,http://example.com/stream or rtsp://example.com/stream,http://example.com/stream or rtsp://example.com/stream,http://example.com/stream or rtsp://example.com/stream,http://example.com/stream or rtsp://example.com/stream,http://example.com/stream or rtsp://example.com/stream,http://ejemplo.com/transmision o rtsp://ejemplo.com/transmision,http://ejemplo.com/stream o rtsp://ejemplo.com/stream,http://ejemplo.com/transmision o rtsp://ejemplo.com/transmision,http://ejemplo.com/transmision o rtsp://ejemplo.com/transmision,http://näide.com/voog või rtsp://näide.com/voog,http://example.com/stream یا rtsp://example.com/stream,http://example.com/stream tai rtsp://example.com/stream,http://exemple.com/flux ou rtsp://exemple.com/flux,http://exemple.com/stream ou rtsp://exemple.com/stream,http://exemple.com/flux ou rtsp://exemple.com/flux,http://exemple.com/flux ou rtsp://exemple.com/flux,http://example.com/stream ou rtsp://example.com/stream,http://example.com/stream અથવા rtsp://example.com/stream,http://example.com/stream או rtsp://example.com/stream,http://example.com/stream या rtsp://example.com/stream,http://primjer.com/stream ili rtsp://primjer.com/stream,http://example.com/stream vagy rtsp://example.com/stream,http://example.com/stream atau rtsp://example.com/stream,http://esempio.com/stream o rtsp://esempio.com/stream,http://example.com/stream または rtsp://example.com/stream,http://example.com/stream немесе rtsp://example.com/stream,http://example.com/stream 또는 rtsp://example.com/stream,http://example.com/stream arba rtsp://example.com/stream,http://example.com/stream vai rtsp://example.com/stream,http://example.com/stream അല്ലെങ്കിൽ rtsp://example.com/stream,http://example.com/stream эсвэл rtsp://example.com/stream,http://example.com/stream किंवा rtsp://example.com/stream,http://example.com/stream atau rtsp://example.com/stream,http://example.com/stream atau rtsp://example.com/stream,http://example.com/stream သို့မဟုတ် rtsp://example.com/stream,http://eksempel.no/strøm eller rtsp://eksempel.no/strøm,http://example.com/stream वा rtsp://example.com/stream,http://voorbeeld.com/stream of rtsp://voorbeeld.com/stream,http://voorbeeld.com/stream of rtsp://voorbeeld.com/stream,http://example.com/stream lub rtsp://example.com/stream,http://exemplo.com/transmissao ou rtsp://exemplo.com/transmissao,http://exemplo.com/stream ou rtsp://exemplo.com/stream,http://exemplu.com/flux sau rtsp://exemplu.com/flux,http://example.com/stream или rtsp://example.com/stream,http://example.com/stream или rtsp://example.com/stream,http://example.com/stream или rtsp://example.com/stream,http://example.com/stream හෝ rtsp://example.com/stream,http://example.com/stream alebo rtsp://example.com/stream,http://example.com/stream ali rtsp://example.com/stream,http://example.com/stream ili rtsp://example.com/stream,http://exempel.com/stream eller rtsp://exempel.com/stream,http://example.com/stream au rtsp://example.com/stream,http://example.com/stream அல்லது rtsp://example.com/stream,http://example.com/stream లేదా rtsp://example.com/stream,http://example.com/stream หรือ rtsp://example.com/stream,http://example.com/stream o rtsp://example.com/stream,http://example.com/stream veya rtsp://example.com/stream,http://example.com/stream або rtsp://example.com/stream,http://example.com/stream یا rtsp://example.com/stream,http://example.com/stream یا rtsp://example.com/stream,http://example.com/stream yoki rtsp://example.com/stream,http://example.com/stream hoặc rtsp://example.com/stream,http://example.com/stream 或 rtsp://example.com/stream,http://example.com/stream 或 rtsp://example.com/stream,http://example.com/stream 或 rtsp://example.com/stream,http://example.com/stream 或 rtsp://example.com/stream,http://example.com/stream 或 rtsp://example.com/stream
add_video_screen_title,Voeg Videobron by,Ավելացնել տեսանյութի աղբյուր,إضافة مصدر فيديو,إضافة مصدر فيديو,إضافة مصدر فيديو,إضافة مصدر فيديو,Video mənbəyi əlavə edin,Добавяне на видео източник,ভিডিও উৎস যোগ করুন,ভিডিও উৎস যোগ করুন,Afegir font de vídeo,Přidat zdroj videa,Tilføj videokilde,Videoquelle hinzufügen,Videoquelle hinzufügen,Videoquelle hinzufügen,Προσθήκη πηγής βίντεο,Add Video source,Add Video source,Add Video Source,Add Video source,Add Video source,Añadir fuente de vídeo,Agregar fuente de video,Agregar fuente de video,Agregar fuente de video,Lisa videoallikas,افزودن منبع ویدیو,Lisää videolähde,Ajouter une source vidéo,Ajouter une source vidéo,Ajouter une source vidéo,Ajouter une source vidéo,Engadir fonte de vídeo,વિડિઓ સોર્સ ઉમેરો,הוסף מקור וידאו,वीडियो स्रोत जोड़ें,Dodaj video izvor,Videóforrás hozzáadása,Tambah sumber Video,Aggiungi fonte video,映像ソースを追加,Бейне көзін қосу,비디오 소스 추가,Pridėti vaizdo šaltinį,Pievienot video avotu,വീഡിയോ ഉറവിടം ചേർക്കുക,Видео эх сурвалж нэмэх,व्हिडिओ स्त्रोत जोडा,Tambah sumber Video,Tambah sumber Video,ဗီဒီယိုရင်းမြစ်ထည့်ပါ,Legg til videokilde,भिडियो स्रोत थप्नुहोस्,Videobron toevoegen,Videobron toevoegen,Dodaj źródło wideo,Adicionar fonte de vídeo,Adicionar fonte de vídeo,Adaugă sursă video,Добавить источник видео,Добавить источник видео,Добавить источник видео,වීඩියෝ ප්‍රභවයක් එක් කරන්න,Pridať zdroj videa,Dodaj vir videoposnetka,Dodaj video izvor,Lägg till videokälla,Ongeza chanzo cha Video,வீடியோ ஆதாரத்தைச் சேர்க்கவும்,వీడియో మూలాన్ని జోడించండి,เพิ่มแหล่งวิดีโอ,Magdagdag ng pinagmulan ng Video,Video kaynağı ekle,Додати відеоджерело,ویڈیو ذریعہ شامل کریں,ویڈیو ذریعہ شامل کریں,Video manba qo'shish,Thêm nguồn video,新增影片來源,添加视频源,新增影片來源,新增影片來源,添加视频源
add_video_screen_from,Voeg videobron by vanaf,Ավելացնել տեսանյութի աղբյուր հետևյալից,إضافة مصدر فيديو من,إضافة مصدر فيديو من,إضافة مصدر فيديو من,إضافة مصدر فيديو من,Video mənbəyini buradan əlavə edin,Добавяне на видео източник от,যোগ করুন ভিডিও উৎস থেকে,এখান থেকে ভিডিও উৎস যোগ করুন,Afegir font de vídeo des de,Přidat zdroj videa z,Tilføj videokilde fra,Videoquelle hinzufügen von,Videoquelle hinzufügen von,Videoquelle hinzufügen von,Προσθήκη πηγής βίντεο από,Add video source from,Add video source from,Add video source from,Add video source from,Add video source from,Añadir fuente de vídeo desde,Agregar fuente de video desde,Agregar fuente de video desde,Agregar fuente de video desde,Lisa videoallikas allikast,افزودن منبع ویدیو از,Lisää videolähde kohteesta,Ajouter une source vidéo depuis,Ajouter une source vidéo à partir de,Ajouter une source vidéo à partir de,Ajouter une source vidéo depuis,Engadir fonte de vídeo desde,આમાંથી વિડિઓ સોર્સ ઉમેરો,הוסף מקור וידאו מ-,इससे वीडियो स्रोत जोड़ें,Dodaj video izvor iz,Videóforrás hozzáadása innen,Tambah sumber video dari,Aggiungi fonte video da,以下から映像ソースを追加,Бейне көзін қосу,다음에서 비디오 소스 추가,Pridėti vaizdo šaltinį iš,Pievienot video avotu no,ഇവിടെ നിന്ന് വീഡിയോ ഉറവിടം ചേർക്കുക,Дараахаас видео эх сурвалж нэмэх,यातून व्हिडिओ स्त्रोत जोडा,Tambah sumber video dari,Tambah sumber video dari,အောက်ပါရင်းမြစ်မှ ဗီဒီယိုထည့်ပါ,Legg til videokilde fra,यहाँबाट भिडियो स्रोत थप्नुहोस्,Videobron toevoegen van,Videobron toevoegen van,Dodaj źródło wideo z,Adicionar fonte de vídeo a partir de,Adicionar fonte de vídeo a partir de,Adaugă sursă video din,Добавить источник видео из,Добавить источник видео из,Добавить источник видео из,මෙතැන් සිට වීඩියෝ ප්‍රභවයක් එක් කරන්න,Pridať zdroj videa z,Dodaj vir videoposnetka iz,Dodaj video izvor iz,Lägg till videokälla från,Ongeza chanzo cha video kutoka,இதிலிருந்து வீடியோ ஆதாரத்தைச் சேர்க்கவும்,నుండి వీడియో మూలాన్ని జోడించండి,เพิ่มแหล่งวิดีโอจาก,Magdagdag ng pinagmulan ng video mula sa,Video kaynağını şuradan ekle,Додати відеоджерело з,ویڈیو ذریعہ شامل کریں,یہاں سے ویڈیو ذریعہ شامل کریں,Video manbani quyidagidan qo'shish,Thêm nguồn video từ,從以下來源新增影片,从以下来源添加视频,從以下來源新增影片,從以下來源新增影片,从以下来源添加视频
webcam_screen_add_title,Voeg Webkamera by,Ավելացնել վեբ տեսախցիկ,إضافة كاميرا ويب,إضافة كاميرا ويب,إضافة كاميرا ويب,إضافة كاميرا ويب,Veb-kamera əlavə edin,Добавяне на уеб камера,ওয়েবক্যাম যোগ করুন,ওয়েবক্যাম যোগ করুন,Afegir càmera web,Přidat webkameru,Tilføj webcam,Webcam hinzufügen,Webcam hinzufügen,Webcam hinzufügen,Προσθήκη Κάμερας Web,Add Webcam,Add Webcam,Add Webcam,Add Webcam,Add Webcam,Añadir webcam,Agregar cámara web,Agregar cámara web,Agregar cámara web,Lisa veebikaamera,افزودن وب‌کم,Lisää webkamera,Ajouter une webcam,Ajouter une webcam,Ajouter une webcam,Ajouter une webcam,Engadir cámara web,વેબકેમ ઉમેરો,הוסף מצלמת רשת,वेबकैम जोड़ें,Dodaj web kameru,Webkamera hozzáadása,Tambah Webcam,Aggiungi webcam,ウェブカメラを追加,Веб-камера қосу,웹캠 추가,Pridėti internetinę kamerą,Pievienot tīmekļa kameru,വെബ്കാം ചേർക്കുക,Вэб камер нэмэх,वेबकॅम जोडा,Tambah Kamera Web,Tambah Kamera Web,ဝက်ဘ်ကင်မရာထည့်ပါ,Legg til webkamera,वेबक्याम थप्नुहोस्,Webcam toevoegen,Webcam toevoegen,Dodaj kamerę internetową,Adicionar Webcam,Adicionar Webcam,Adaugă Webcam,Добавить веб-камеру,Добавить веб-камеру,Добавить веб-камеру,වෙබ්කැමරාව එක් කරන්න,Pridať webkameru,Dodaj spletno kamero,Dodaj veb kameru,Lägg till webbkamera,Ongeza Kamera ya Wavuti,வெப்கேம் சேர்க்கவும்,వెబ్‌క్యామ్ జోడించండి,เพิ่มเว็บแคม,Magdagdag ng Webcam,Web Kamerası Ekle,Додати веб-камеру,ویب کیم شامل کریں,ویب کیم شامل کریں,Veb-kamera qo'shish,Thêm Webcam,新增網路攝影機,添加网络摄像头,新增網絡攝影機,新增網絡攝影機,添加网络摄像头
webcam_screen_edit_title,Kies Webkamera,Ընտրել վեբ տեսախցիկ,اختيار كاميرا ويب,اختيار كاميرا ويب,اختيار كاميرا ويب,اختيار كاميرا الويب,Veb-kamera seçin,Избор на уеб камера,ওয়েবক্যাম বেছে নিন,ওয়েবক্যাম বেছে নিন,Triar càmera web,Vybrat webkameru,Vælg webcam,Webcam auswählen,Webcam auswählen,Webcam auswählen,Επιλογή Κάμερας Web,Choose Webcam,Choose Webcam,Choose Webcam,Choose Webcam,Choose Webcam,Elegir webcam,Elegir cámara web,Elegir cámara web,Elegir cámara web,Vali veebikaamera,انتخاب وب‌کم,Valitse webkamera,Choisir une webcam,Choisir une webcam,Choisir une webcam,Choisir une webcam,Escoller cámara web,વેબકેમ પસંદ કરો,בחר מצלמת רשת,वेबकैम चुनें,Odaberi web kameru,Webkamera kiválasztása,Pilih Webcam,Scegli webcam,ウェブカメラを選択,Веб-камераны таңдау,웹캠 선택,Pasirinkti internetinę kamerą,Izvēlēties tīmekļa kameru,വെബ്കാം തിരഞ്ഞെടുക്കുക,Вэб камер сонгох,वेबकॅम निवडा,Pilih Kamera Web,Pilih Kamera Web,ဝက်ဘ်ကင်မရာရွေးချယ်ပါ,Velg webkamera,वेबक्याम छनौट गर्नुहोस्,Webcam kiezen,Webcam kiezen,Wybierz kamerę internetową,Escolher Webcam,Escolher Webcam,Alege Webcam,Выбрать веб-камеру,Выбрать веб-камеру,Выбрать веб-камеру,වෙබ්කැමරාව තෝරන්න,Vybrať webkameru,Izberi spletno kamero,Izaberi veb kameru,Välj webbkamera,Chagua Kamera ya Wavuti,வெப்கேம் தேர்வு செய்யவும்,వెబ్‌క్యామ్‌ను ఎంచుకోండి,เลือกเว็บแคม,Pumili ng Webcam,Web Kamerası Seç,Вибрати веб-камеру,ویب کیم منتخب کریں,ویب کیم چنیں,Veb-kamerani tanlash,Chọn Webcam,選擇網路攝影機,选择网络摄像头,選擇網絡攝影機,選擇網絡攝影機,选择网络摄像头
webcam_manager_webcam,Webkamera,Վեբ տեսախցիկ,كاميرا ويب,كاميرا ويب,كاميرا ويب,كاميرا الويب,Veb-kamera,Уеб камера,ওয়েবক্যাম,ওয়েবক্যাম,Càmera web,Webkamera,Webcam,Webcam,Webcam,Webcam,Κάμερα Web,Webcam,Webcam,Webcam,Webcam,Webcam,Webcam,Cámara web,Cámara web,Cámara web,Veebikaamera,وب‌کم,Webkamera,Webcam,Webcam,Webcam,Webcam,Cámara web,વેબકેમ,מצלמת רשת,वेबकैम,Web kamera,Webkamera,Webcam,Webcam,ウェブカメラ,Веб-камера,웹캠,Internetinė kamera,Tīmekļa kamera,വെബ്കാം,Вэб камер,वेबकॅम,Kamera Web,Kamera Web,ဝက်ဘ်ကင်မရာ,Webkamera,वेबक्याम,Webcam,Webcam,Kamera internetowa,Webcam,Webcam,Webcam,Веб-камера,Веб-камера,Веб-камера,වෙබ්කැමරාව,Webkamera,Spletna kamera,Veb kamera,Webbkamera,Kamera ya Wavuti,வெப்கேம்,వెబ్‌క్యామ్,เว็บแคม,Webcam,Web Kamerası,Веб-камера,ویب کیم,ویب کیم,Veb-kamera,Webcam,網路攝影機,网络摄像头,網絡攝影機,網絡攝影機,网络摄像头
camera_screen_front_camera,Voorkamera,Առջևի տեսախցիկ,الكاميرا الأمامية,الكاميرا الأمامية,الكاميرا الأمامية,الكاميرا الأمامية,Ön Kamera,Предна камера,সামনের ক্যামেরা,সামনের ক্যামেরা,Càmera frontal,Přední kamera,Frontkamera,Frontkamera,Frontkamera,Frontkamera,Μπροστινή Κάμερα,Front Camera,Front Camera,Front Camera,Front Camera,Front Camera,Cámara frontal,Cámara frontal,Cámara frontal,Cámara frontal,Eesmine kaamera,دوربین جلو,Etukamera,Caméra frontale,Caméra frontale,Caméra avant,Caméra frontale,Cámara frontal,ફ્રન્ટ કેમેરા,מצלמה קדמית,फ्रंट कैमरा,Prednja kamera,Előlapi kamera,Kamera Depan,Fotocamera frontale,フロントカメラ,Алдыңғы камера,전면 카메라,Priekinė kamera,Priekšējā kamera,മുൻ ക്യാമറ,Урд камер,समोरचा कॅमेरा,Kamera Hadapan,Kamera Hadapan,ရှေ့ကင်မရာ,Frontkamera,अगाडिको क्यामेरा,Camera voorzijde,Frontcamera,Przedni aparat,Câmera Frontal,Câmara Frontal,Camera frontală,Фронтальная камера,Фронтальная камера,Фронтальная камера,ඉදිරිපස කැමරාව,Predná kamera,Sprednja kamera,Prednja kamera,Främre kamera,Kamera ya Mbele,முன் கேமரா,ముందు కెమెరా,กล้องหน้า,Front Camera,Ön Kamera,Фронтальна камера,سامنے والا کیمرہ,سامنے والا کیمرہ,Old kamera,Camera trước,前置相機,前置相机,前置相機,前置相機,前置相机
camera_screen_back_camera,Agterkamera,Հետևի տեսախցիկ,الكاميرا الخلفية,الكاميرا الخلفية,الكاميرا الخلفية,الكاميرا الخلفية,Arxa Kamera,Задна камера,পিছনের ক্যামেরা,পিছনের ক্যামেরা,Càmera posterior,Zadní kamera,Bagkamera,Rückkamera,Rückkamera,Rückkamera,Πίσω Κάμερα,Back Camera,Back Camera,Back Camera,Back Camera,Back Camera,Cámara trasera,Cámara trasera,Cámara trasera,Cámara trasera,Tagumine kaamera,دوربین عقب,Takakamera,Caméra arrière,Caméra arrière,Caméra arrière,Caméra arrière,Cámara traseira,બેક કેમેરા,מצלמה אחורית,बैक कैमरा,Stražnja kamera,Hátlapi kamera,Kamera Belakang,Fotocamera posteriore,バックカメラ,Артқы камера,후면 카메라,Galinė kamera,Aizmugurējā kamera,പിൻ ക്യാമറ,Хойд камер,मागचा कॅमेरा,Kamera Belakang,Kamera Belakang,နောက်ကင်မရာ,Bakkamera,पछाडिको क्यामेरा,Camera achterzijde,Achtercamera,Tylny aparat,Câmera Traseira,Câmara Traseira,Camera din spate,Задняя камера,Задняя камера,Основная камера,පිටුපස කැමරාව,Zadná kamera,Zadnja kamera,Zadnja kamera,Bakre kamera,Kamera ya Nyuma,பின் கேமரா,వెనుక కెమెరా,กล้องหลัง,Back Camera,Arka Kamera,Задня камера,پیچھے والا کیمرہ,پیچھے والا کیمرہ,Orqa kamera,Camera sau,後置相機,后置相机,後置相機,後置相機,后置相机
camera_screen_add_title,Voeg Kamera by,Ավելացնել տեսախցիկ,إضافة كاميرا,إضافة كاميرا,إضافة كاميرا,إضافة كاميرا,Kamera əlavə edin,Добавяне на камера,ক্যামেরা যোগ করুন,ক্যামেরা যোগ করুন,Afegir càmera,Přidat kameru,Tilføj kamera,Kamera hinzufügen,Kamera hinzufügen,Kamera hinzufügen,Προσθήκη Κάμερας,Add Camera,Add Camera,Add Camera,Add Camera,Add Camera,Añadir cámara,Agregar cámara,Agregar cámara,Agregar cámara,Lisa kaamera,افزودن دوربین,Lisää kamera,Ajouter une caméra,Ajouter une caméra,Ajouter une caméra,Ajouter une caméra,Engadir cámara,કેમેરા ઉમેરો,הוסף מצלמה,कैमरा जोड़ें,Dodaj kameru,Kamera hozzáadása,Tambah Kamera,Aggiungi fotocamera,カメラを追加,Камера қосу,카메라 추가,Pridėti kamerą,Pievienot kameru,ക്യാമറ ചേർക്കുക,Камер нэмэх,कॅमेरा जोडा,Tambah Kamera,Tambah Kamera,ကင်မရာထည့်ပါ,Legg til kamera,क्यामेरा थप्नुहोस्,Camera toevoegen,Camera toevoegen,Dodaj aparat,Adicionar Câmera,Adicionar Câmara,Adaugă Cameră,Добавить камеру,Добавить камеру,Добавить камеру,කැමරාව එක් කරන්න,Pridať kameru,Dodaj kamero,Dodaj kameru,Lägg till kamera,Ongeza Kamera,கேமரா சேர்க்கவும்,కెమెరా జోడించండి,เพิ่มกล้อง,Magdagdag ng Camera,Kamera Ekle,Додати камеру,کیمرہ شامل کریں,کیمرہ شامل کریں,Kamera qo'shish,Thêm Camera,新增相機,添加相机,新增相機,新增相機,添加相机
camera_screen_edit_title,Kies Kamera,Ընտրել տեսախցիկ,اختيار كاميرا,اختيار كاميرا,اختيار كاميرا,اختيار الكاميرا,Kamera seçin,Избор на камера,ক্যামেরা বেছে নিন,ক্যামেরা বেছে নিন,Triar càmera,Vybrat kameru,Vælg kamera,Kamera auswählen,Kamera auswählen,Kamera auswählen,Επιλογή Κάμερας,Choose Camera,Choose Camera,Choose Camera,Choose Camera,Choose Camera,Elegir cámara,Elegir cámara,Elegir cámara,Elegir cámara,Vali kaamera,انتخاب دوربین,Valitse kamera,Choisir une caméra,Choisir une caméra,Choisir une caméra,Choisir une caméra,Escoller cámara,કેમેરા પસંદ કરો,בחר מצלמה,कैमरा चुनें,Odaberi kameru,Kamera kiválasztása,Pilih Kamera,Scegli fotocamera,カメラを選択,Камераны таңдау,카메라 선택,Pasirinkti kamerą,Izvēlēties kameru,ക്യാമറ തിരഞ്ഞെടുക്കുക,Камер сонгох,कॅमेरा निवडा,Pilih Kamera,Pilih Kamera,ကင်မရာရွေးချယ်ပါ,Velg kamera,क्यामेरा छनौट गर्नुहोस्,Camera kiezen,Camera kiezen,Wybierz aparat,Escolher Câmera,Escolher Câmara,Alege Cameră,Выбрать камеру,Выбрать камеру,Выбрать камеру,කැමරාව තෝරන්න,Vybrať kameru,Izberi kamero,Izaberi kameru,Välj kamera,Chagua Kamera,கேமரா தேர்வு செய்யவும்,కెమెరాను ఎంచుకోండి,เลือกกล้อง,Pumili ng Camera,Kamera Seç,Вибрати камеру,کیمرہ منتخب کریں,کیمرہ چنیں,Kamerani tanlash,Chọn Camera,選擇相機,选择相机,選擇相機,選擇相機,选择相机
